permission-name \ module-role-name,*default-role*,Co_sign,Contractor,admin-role,area_authority,authorized_electrical_person,authorized_gas_tester,diving_authority,editor-role,isolating_authority,issuing_authority,job_owner,onsite_verifier,performing_authority,permit_approvor,permit_authorizer,permit_issuer,permit_requestor,permit_user,power-user-role,reviewer-role,senior_operations_supervisor,site_checker,supervisor-role,technical_approve,work_site_supervisor,$schema module-roles/v1.0
certificates.can_add,.,all,area,all,,,,,all,,,area,,,area,,area,area,,,,,,,area,
certificates.can_delete,,all,,,,,,,,,,area,,,area,,area,area,,,,area,,,area,
certificates.can_edit,,all,area,all,,,,,,,,area,area,,area,,area,area,,,,,,,area,
certificates.can_view,.,all,area,,,,,,,,,area,area,,area,,area,all,,,,,,,all,
dashboards.permits_overview.can_view,,all,.,,,,,,,,,,all,,all,,all,,,,,all,,,,
permit_forms.can_add,,,,,,,,,,,,,,,,,,,,,,,,,,
permit_forms.can_delete,,,,,,,,,,,,,,,,,,,,,,,,,,
permit_forms.can_edit,,,,,,,,,,,,,,,,,,,,,,,,,,
permit_forms.can_view,,,,,,,,,,,,,,,,,,,,,,,,,,
permits.area_authority,.,,,,,,,,,,,,,,,,,,,,,,,,.,
permits.authorized_electrical_person,,,,,,,,,,,,,,,,,,,,,,,,,.,
permits.authorized_gas_tester,.,,,,,,,,,,,.,,,,,.,,,,,,,,,
permits.can_add,,all,area,,,,,,,,,area,.,,area,,area,area,,,,,,,area,
permits.can_delete,,all,.,,,,,,,,,area,.,,area,,area,area,,,,area,,,area,
permits.can_edit,,all,area,,,,,,,,,area,area,,area,,area,area,,,,,,,area,
permits.can_view,.,all,area,,,,,,,,,area,area,,area,,area,area,,,,,,,all,
permits.diving_authority,.,,,,,,,,,,,.,,,,,,,,,,,,,,
permits.isolating_authority,,,,,,,,,,,,,,,,,,,,,,,,,,
permits.issuing_authority,,,,,,,,,,,,,,,,,,,,,,,,,,
permits.performing_authority,,,,,,,,,,,,,,,,,,,,,,,,,.,
permits.permit_authorizer,,,,,,,,,,,,,,,,,,,,,,,,,.,
permits.permit_user,,.,,,,,,,,,,.,,,,,,,,,,,,,.,
permits.senior_operations_supervisor,,,,,,,,,,,,,,,,,,,,,,,,,,
permits.site_checker,,,,,,,,,,,,,,,,,,,,,,,,,.,
permits.work_site_supervisor,,,,,,,,,,,,,,,,,,,,,,,,,,
work_order.can_add,,,,,,,,,,,,,,,,,,,,,,,,,.,
